vendor,total_paid,share_of_total,concentration_flag
"Canada Corporation # 848230-6, Cpap Fit Inc.",323103,1.56E-06,none
Elgin-St Thomas Youth Employment Counselling Centre,323027,1.56E-06,none
Hesperus Fellowship Community Of Ontario,322727,1.56E-06,none
University Of Saskatchewan,322500,1.56E-06,none
Canadian Addiction Treatment Clinics Lp,322486,1.56E-06,none
Reach Midwives,321902,1.55E-06,none
Corporation Township Of East Hawkesbury,321825,1.55E-06,none
Conseil D'Alphabetisation- Toronto Inc,321795,1.55E-06,none
Good Neighbours Club,321566,1.55E-06,none
Waste Management Of Canada Corporation,321181,1.55E-06,none
Ontario Basketball Association,321152,1.55E-06,none
Softchoice Corp.,320788,1.55E-06,none
Victim Services Of Kenora & Area,320580,1.55E-06,none
Speech And Stuttering Institute,320500,1.55E-06,none
Toronto Mediation Centre Ltd,320411,1.55E-06,none
Esri Canada Ltd,320288,1.55E-06,none
A P R Welding And Consulting Corporation,320192,1.55E-06,none
Equay-Wuk (Women'S Group),320172,1.55E-06,none
National Farmers Union - Ontario,319927,1.55E-06,none
Metzger Meat Products Inc,319904,1.55E-06,none
Ponka Verbatim Reporting Services Inc.,319448,1.54E-06,none
Christopher Farrell Medicine Professional Corporation,319356,1.54E-06,none
Ergocentric Inc.,319203,1.54E-06,none
Employment Help Centre,318899,1.54E-06,none
Skate Ontario,318642,1.54E-06,none
First Class Metals Canada Inc,318550,1.54E-06,none
Catherine A. Rogers,318508,1.54E-06,none
Markham Stouffville Hostpial,318454,1.54E-06,none
Good Foot Support Services (O/A Good Foot Delivery),318410,1.54E-06,none
Innov-8 Legal Inc,318216,1.54E-06,none
Portage Cybertech Inc.,318041,1.54E-06,none
Crawford & Company (Canada) Inc. ,317713,1.53E-06,none
Mlse Foundation,317705,1.53E-06,none
Varien Solutions Inc. (Maxtech Secur.),317541,1.53E-06,none
"Ontario Corporation # 002577417, Manji Nicholaou Audiology Professional Corporation",317500,1.53E-06,none
Wcs Wildlife Conservation Society Canada,317354,1.53E-06,none
Ogwadeni:Deo,317215,1.53E-06,none
Stratejm Inc.,317101,1.53E-06,none
Haldimand Norfolk Literacy Council,316964,1.53E-06,none
Sault Ste Marie Innovation Centre,316838,1.53E-06,none
Digital Messaging Technologies Solutions Canada Ulc. (O/A Bluecrest),316712,1.53E-06,none
Alpine Canada Alpin,316575,1.53E-06,none
Ingamo Family Homes (Woodstock) Inc,316550,1.53E-06,none
Township Of Hilton,316375,1.53E-06,none
2762458 Ontario Inc,316346,1.53E-06,none
Canadian Tactical And Operational Medical Solutions Inc (O/A Ctoms),316294,1.53E-06,none
Ande Corporation,316112,1.53E-06,none
Institute For Advancements In Mental Health,316057,1.53E-06,none
Bruce House,315842,1.53E-06,none
Dexterra Group Inc,315835,1.53E-06,none
Business Centre Nipissing Parry Sound,315800,1.53E-06,none
Fred J W Bickford/John A Cyr/B Paul Jasiura Et Al (O/A Weiler Maloney Nelson),315418,1.52E-06,none
Paypal Holdings Inc.,315300,1.52E-06,none
Millenium Printing Inc,315182,1.52E-06,none
In Soludoc Inc.,315102,1.52E-06,none
Mississaugas Of Scugog Island First Nation,315000,1.52E-06,none
Joint Apprenticeship And Training Committee,315000,1.52E-06,none
We-Fix-U Physiotherapy And Foot Health Inc,314707,1.52E-06,none
Olthuis Kleer Townshend Llp ,314654,1.52E-06,none
Robertson & Company Ltd,314310,1.52E-06,none
Seg Management Consultants,314265,1.52E-06,none
Mitaanjigamiing First Nation,314219,1.52E-06,none
Posterity Group Consulting Inc,314079,1.52E-06,none
Dasco Storage Solutions Ltd,313873,1.52E-06,none
Conflict Resolution Counselling Services Of Quinte,313567,1.51E-06,none
Trafalgar Medical Clinic,313217,1.51E-06,none
Quinte Physiotherapy Clinic Inc,312740,1.51E-06,none
Township Of Montague,312525,1.51E-06,none
Murphy Bus Lines (J & T Murphy Ltd),311945,1.51E-06,none
Heli-Inter Inc.,311880,1.51E-06,none
True Hearing Health Corp. (O/A True Hearing Health),311663,1.51E-06,none
Canada Life Assurance,311462,1.50E-06,none
Pine Hill Youth Residence Ltd,311157,1.50E-06,none
Prince Edward-Lennox & Addington Housing Corp,310804,1.50E-06,none
The London Cross Cultural Learner Centre,310653,1.50E-06,none
Hamster ,310526,1.50E-06,none
Toronto Zoo Wildlife Conservancy,310109,1.50E-06,none
The Housecrafters Ltd,310000,1.50E-06,none
Breakaway Community Services,309968,1.50E-06,none
Francotyp-Postalia Canada Inc.,309700,1.50E-06,none
Maurer Law Professional Corp.,309610,1.50E-06,none
1354739 Ontario Inc,309462,1.49E-06,none
Cci Research Inc,309448,1.49E-06,none
Waters Ltd,309417,1.49E-06,none
Watson Jacobs Bosnick Llp,309380,1.49E-06,none
Torys Llp,309355,1.49E-06,none
Randy Scott Clinical Services,309262,1.49E-06,none
Enveloppe Concept Inc,309163,1.49E-06,none
Eric Hanna,309054,1.49E-06,none
Google,309036,1.49E-06,none
Certicare Medical Garments Inc.,308956,1.49E-06,none
Township Of Baldwin,308700,1.49E-06,none
Cross Winds,308681,1.49E-06,none
"Profmed Healthcare Solutions Inc., 1795649 Ontario Corporation Number",308547,1.49E-06,none
Hopital Regional De Sudbury Regional Hospital,308314,1.49E-06,none
Fisher Scientific,308033,1.49E-06,none
Fort Erie Society For The Prevention Of Cruelty To Animals,307750,1.49E-06,none
Mastrangelo Fuels,307710,1.49E-06,none
Wharton Medical Clinic Inc,307300,1.48E-06,none
Merak Systems Corp.,307259,1.48E-06,none
Kitchener Public Library,306980,1.48E-06,none
Vianet Inc,306922,1.48E-06,none
Community Resource Centre (Killaloe) Inc,306629,1.48E-06,none
Mushkegowuk-James Bay,306403,1.48E-06,none
Waterloo Wellington Cremation And Burial Services Ltd,306320,1.48E-06,none
Centres For Seniors Windsor,305849,1.48E-06,none
Egale Canada,305550,1.48E-06,none
Nature Fresh Farms Inc,305496,1.48E-06,none
Home Health And Medical Supplies,305301,1.47E-06,none
Cancoil Thermal Corporation,305030,1.47E-06,none
Association Franco-Ontarienne Des Conseils Scolaires Catholiques (O/A Afocsc),305000,1.47E-06,none
Tetragon-Tasse Distributors Inc,304840,1.47E-06,none
2496261 Ontario Inc (O/A Pacwill Environmental),304312,1.47E-06,none
Gogama Local Services Board,304117,1.47E-06,none
Advanced Orthodynamics Inc.,303978,1.47E-06,none
York Metal Products Inc,303700,1.47E-06,none
Dr Aamir Shehzad Sherwani,303638,1.47E-06,none
2175537 Ontario Inc.,303617,1.47E-06,none
Slate Falls First Nation,303500,1.47E-06,none
Ah-Shawah-Bin Sioux Lookout/Lac Seul Victim Support Services,303438,1.47E-06,none
Safeguards Training For Children And Adult Services,303310,1.47E-06,none
First Class Conferencing Facilitation Inc,303102,1.46E-06,none
Ihg Hotels,303037,1.46E-06,none
Azimuth Environmental Consulting Inc,302758,1.46E-06,none
10605239 Canada Inc,302238,1.46E-06,none
Picard Peanuts Ltd (O/A Picard Peanuts),301463,1.46E-06,none
Action Positive: Vih - Sida,301400,1.46E-06,none
Guelph Business Enterprise Centre Inc (O/A Guelph-Wellington Business Enterprise Centre),301357,1.46E-06,none
Atlas North America Llc,301225,1.46E-06,none
Wendy Pitkin,301221,1.46E-06,none
Kingston Frontenac Public Library Board,300954,1.45E-06,none
Kingfisher Lake Indian Band,300940,1.45E-06,none
Barnes Management Group,300523,1.45E-06,none
Ontario Cycling Association Inc,300520,1.45E-06,none
Caliber Consulting Co.,300309,1.45E-06,none
1000638506 Ontario Inc.,300108,1.45E-06,none
Barry Callebaut Canada Inc,300000,1.45E-06,none
Andriani Ltd.,300000,1.45E-06,none
Elringklinger Canada Inc,300000,1.45E-06,none
Eclipse Automation Inc,300000,1.45E-06,none
Techo-Bloc Inc,300000,1.45E-06,none
Reel Canada,300000,1.45E-06,none
Ontario Association Of Youth Employment Centres,300000,1.45E-06,none
Gestion Soprema Canada Inc/Holding Soprema Canada Inc,300000,1.45E-06,none
Mediasmarts,299790,1.45E-06,none
Tate'S Inc (1650990 Ontario Inc),299681,1.45E-06,none
Vdb Grains Ltd,299550,1.45E-06,none
Bt Engineering,298967,1.44E-06,none
Microbix Biosystems Inc.,298649,1.44E-06,none
1581826 Ontario Inc (O/A Cloud 9 Productions),298541,1.44E-06,none
Greater Peterborough Chamber Of Commerce,298503,1.44E-06,none
David Abraham,298485,1.44E-06,none
9764399 Canada Inc,298227,1.44E-06,none
Sri Guru Nanak Sikh Centre Brampton,297500,1.44E-06,none
"Ipromoteu Canada Inc., Brandingwerx",297423,1.44E-06,none
Rainy River District Victim Services Program,297409,1.44E-06,none
Lempiala Sand & Gravel Ltd,297301,1.44E-06,none
2863993 Ontario Inc.,297091,1.44E-06,none
Canadian Standards Association Group (Csa Group),297002,1.43E-06,none
Stride Academy Inc.,297000,1.43E-06,none
Pepco,296730,1.43E-06,none
7213107 Canada Inc.,296710,1.43E-06,none
Hunter-Courchene Consulting Group Inc,296686,1.43E-06,none
Township Of Dawn-Euphemia,295900,1.43E-06,none
Winmar,295339,1.43E-06,none
Victim Services Of Huron County,295167,1.43E-06,none
Deaf Access Simcoe - Muskoka Inc,294932,1.42E-06,none
Markham African Caribbean Canadian Association,294886,1.42E-06,none
Township Of Front Of Yonge,294500,1.42E-06,none
Peacom Inc.,294382,1.42E-06,none
Ontario Grape And Wine Research Inc,294339,1.42E-06,none
Kingston General Hospital,293800,1.42E-06,none
Capital City Specialty And Emergency Animal Hospital,293593,1.42E-06,none
1871372 Ontario Inc.,293532,1.42E-06,none
Township Of La Vallee,293400,1.42E-06,none
Jias (Jewish Immigrant Aid Services) Toronto,293257,1.42E-06,none
Clean Horizons Canada Ltd,293235,1.42E-06,none
Bentley Systems Inc,292670,1.41E-06,none
Kawartha Veterinary Emergency Clinic Professional Corporation,292641,1.41E-06,none
G.W. Anglin Manufacturing,292576,1.41E-06,none
Recovery Garment Centre Inc./Corporation Number 709217-2,292240,1.41E-06,none
Paul W Lamb Trucking Inc,292076,1.41E-06,none
Telus Health (Canada) Ltd,291311,1.41E-06,none
Simcoe Addiction And Mental Health Inc.,291203,1.41E-06,none
Neil De Laplante Medicine Professional Corp.,291189,1.41E-06,none
Gta W21 Inc,291158,1.41E-06,none
Ontario Rugger Union (O/A Rugby Ontario),291151,1.41E-06,none
Eastern Ontario Trails Alliance,291127,1.41E-06,none
6175015 Canada Inc O/A Adss ,290963,1.41E-06,none
2535356 Ontario Inc,290729,1.40E-06,none
St Thomas Economic Development Corporation,290525,1.40E-06,none
"Ontario Corporation # 1000250791, Inspiair Mississauga Inc.",290322,1.40E-06,none
Niagara Peninsula Energy,290256,1.40E-06,none
Canadian Council Of Ministers Of The Environment,290025,1.40E-06,none
Element5 Limited Partership,290000,1.40E-06,none
Workforce Planning Board Of Waterloo Wellington Dufferin,290000,1.40E-06,none
Association Des Directions Et Directions Adjointes Des Ecoles Franco-Ontariennes,290000,1.40E-06,none
Unifor ,290000,1.40E-06,none
795292 Ontario Limited,289783,1.40E-06,none
Sunnycrest Nursing Home Ltd,289686,1.40E-06,none
Ev Nickel Inc,289421,1.40E-06,none
Cooperative Du Regroupement Des Organismes Francophones De Thunder Bay Inc,289415,1.40E-06,none
Lindsay D. Marshall Professional Corp.,289085,1.40E-06,none
Victim Services Elgin,289049,1.40E-06,none
Farr Mechanical Corporation,288996,1.40E-06,none
Goreway Physiotherapy And Rehabilitation Centre,288809,1.40E-06,none
Cdit Inc,288470,1.39E-06,none
Ontario Rowing Association (O/A Row Ontario),287721,1.39E-06,none
Essex County Library,287721,1.39E-06,none
Meals On Wheels Thorold - St Catharines,287709,1.39E-06,none
Volleyball Canada,287599,1.39E-06,none
Toronto Association Of Business Improvement Areas (Tabia),287575,1.39E-06,none
Youth Employment Assistance Headquarters Inc,287223,1.39E-06,none
Windsor Electrical Contractors Association,287100,1.39E-06,none
St. Leonard'S Society Of London,287000,1.39E-06,none
2763739 Ontario Inc,286960,1.39E-06,none
"Agropur Cooperative, Division Natrel",286608,1.38E-06,none
Salon Funeraire Miron-Wilson Funeral Home-Cremation & Reception Centre Ltd,286601,1.38E-06,none
"Ontario Corporation # 002545257, Cardinal Orthotics Ltd.",286481,1.38E-06,none
American Association On Intellectual And Developmental Disabilities,286363,1.38E-06,none
Uzima Women Relief Group International,286285,1.38E-06,none
Carl Zeiss Canada Ltd,285832,1.38E-06,none
Work Zone Safety Products Inc,285525,1.38E-06,none
Cambium Inc.,285361,1.38E-06,none
Innovation Initiatives Ontario North,285154,1.38E-06,none
Connecture Canada,285080,1.38E-06,none
Flanagan Foodservice Inc,285061,1.38E-06,none
Glen Dimplex Americas Limited,285014,1.38E-06,none
Niagara Workforce Planning Board,284839,1.38E-06,none
Four County Labour Market Planning Board,284700,1.38E-06,none
A Miron Topsoil Ltd,284552,1.37E-06,none
Wawa And Area Victim Services,284305,1.37E-06,none
1670747 Ontario Inc (O/A Mastrangelo Fuels),284300,1.37E-06,none
Superior North Victim Services,284186,1.37E-06,none
Parents Partenaires En Education (Ppe),283880,1.37E-06,none
Raven Transfers,283853,1.37E-06,none
2757959 Ontario Inc (O/A North American Security Services),283398,1.37E-06,none
Manitoulin-North Shore Victim Crisis Assistance Referral Services,283367,1.37E-06,none
Brandy E George Cultural Research Inc,283298,1.37E-06,none
2341590 Ontario Inc.,283247,1.37E-06,none
Ontario College Of Family Physicians,283047,1.37E-06,none
Mental Health Network Of Chatham Kent,282843,1.37E-06,none
Dovercourt Boys & Girls Club,282750,1.37E-06,none
Learning Disabilities Assoc. Of Toronto Districts,282693,1.37E-06,none
Kingston Economic Development Corp (Kedco),282650,1.37E-06,none
Kirchberger Audiology Professional Corporation,282500,1.36E-06,none
Bold Graphic Communication Ltd,282373,1.36E-06,none
Piyatissa Wanniarachchige (O/A Humber Physiotherapy Services),281925,1.36E-06,none
Adpma Llc.,281767,1.36E-06,none
Arbitration Place ,281606,1.36E-06,none
Corporation Of Township Of Opasatika,281550,1.36E-06,none
Town Of Lakeshore,281463,1.36E-06,none
Borsa Wholesale,281098,1.36E-06,none
Stericycle,280893,1.36E-06,none
Patel Leonard Llp,280763,1.36E-06,none
Simple Vote Inc/Simply Voting Inc,280692,1.36E-06,none
Almaguin Adult Learning Centre,280413,1.35E-06,none
583809 Ontario Ltd (O/A The Car Rental Place),280343,1.35E-06,none
A Lococo Wholesale Ltd,280187,1.35E-06,none
Workforce Planning Hamilton/Planification De Main D'Oeuvre De Hamilton,280000,1.35E-06,none
Friends Of Wabakimi,279929,1.35E-06,none
Accumetal Manufacturing Inc.,279887,1.35E-06,none
Ontario Sailing Association,279571,1.35E-06,none
"Ontario Corporation # 1124980, Health Care Pharmacy",279338,1.35E-06,none
Granicus Canada Holdings Ulc.,279317,1.35E-06,none
Meridian Spine And Joint Physiotherapy,279303,1.35E-06,none
Riverdale Immigrant Womens Centre,278891,1.35E-06,none
Raymond Chabot Grant Thornton Consulting Inc,278850,1.35E-06,none
The Toronto Motion Picture Technicians Training Centre,278451,1.35E-06,none
Dundas Community Services,278128,1.34E-06,none
The Corporation Of The City Of Belleville,277972,1.34E-06,none
Three Fires Group Inc.,277960,1.34E-06,none
Balmoral Aid And Support Services,277657,1.34E-06,none
De Sante Communautaire Pinecrest-Queensway,277500,1.34E-06,none
Valley Mobility Inc.,277395,1.34E-06,none
Eviden Canada Inc,277076,1.34E-06,none
Johnson Controls Canada Lp,276929,1.34E-06,none
Near North Palliative Care Network,276772,1.34E-06,none
Goodfellow Inc.,276684,1.34E-06,none
Jake Andrew Yorke,276600,1.34E-06,none
Municipality Of Red Lake,276225,1.33E-06,none
Stuart A Lackey And Lindsay E Lackey,276213,1.33E-06,none
Adult Learning & Training Centre,275771,1.33E-06,none
177180 Canada Inc,275752,1.33E-06,none
Roy Reid,275737,1.33E-06,none
Beef Farmers Of Ontario,275734,1.33E-06,none
Cm Inc.,275695,1.33E-06,none
Wilderness Air Ltd.,275580,1.33E-06,none
North East Physiotherapy Inc,275369,1.33E-06,none
Fleischer & Kochberg Professional Corporation,275167,1.33E-06,none
Soldiers' Aid Commission Of Ontario,275000,1.33E-06,none
Labour Market Group,275000,1.33E-06,none
Iroquois Falls Adult Learning Centre Inc,274990,1.33E-06,none
Gsma Limited,274800,1.33E-06,none
Children'S Aid Society,274553,1.33E-06,none
Canadian Corps Of Commissionaires (Kingston & Region Division),274309,1.33E-06,none
Whitefish Lake First Nation,274108,1.32E-06,none
Elgin Middlesex Oxford Workforce Planning & Development Board,274100,1.32E-06,none
Commission De Formation Et D'Adaptation De Sudbury & Manitoulin Training Andadjustment Board,273757,1.32E-06,none
Ejust Systems Inc,273648,1.32E-06,none
The Yonge Street Mission,273494,1.32E-06,none
Legal Assistance Of Windsor,273387,1.32E-06,none
Northern Connections Adult Learning Centre,273029,1.32E-06,none
Ontario Good Roads Association,272952,1.32E-06,none
Community Justice Initiatives Of Waterloo Region,272856,1.32E-06,none
"Computer Talk Technology, Inc.",272806,1.32E-06,none
Durham Region Association Of Black Professionals And Entrepreneurs Inc,272703,1.32E-06,none
2017932 Ontario Inc.,272500,1.32E-06,none
Sarnia Lambton Workforce Development Board,272337,1.32E-06,none
Imperial Engravers,272284,1.32E-06,none
Amazon.Com Inc.,272178,1.31E-06,none
"Khan, Muhammad Asif",272105,1.31E-06,none
Professional Physiotherapy Centres Inc,272091,1.31E-06,none
North Bay Audiology Clinic Ltd.,272000,1.31E-06,none
Barrie Public Library Board,271808,1.31E-06,none
Township Of Joly,271700,1.31E-06,none
Hospice Dufferin,271443,1.31E-06,none
Van Valkenburg Communications,271423,1.31E-06,none
Silvacom Ltd,271250,1.31E-06,none
Ramboll Group A/S,270799,1.31E-06,none
Jitterware Inc,270725,1.31E-06,none
Maison De Soins Palliatifs De Sudbury Hospice,270290,1.31E-06,none
Egis Surveying Inc (O/A Mcintosh Perry Surveying Inc),270282,1.31E-06,none
Addiction Rehab Toronto Inc,270221,1.31E-06,none
643384 Ontario Ltd,270103,1.30E-06,none
1000 Islands Region Workforce Development Board,270000,1.30E-06,none
